date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:59:16	27666/27666	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:29:25%20GMT	https://verify.crsorgi.gov.viewcert.info/auth/State.php	C:/My%20Web%20Sites/ii/verify.crsorgi.gov.viewcert.info/auth/State.html	(from )
08:59:17	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2003:29:26%20GMT	https://verify.crsorgi.gov.viewcert.info/robots.txt		(from )
08:59:18	18369/18369	---M-Z	200	added ('OK')	text/css	etag:%2211410a9-47c1-6097a9c468f70-gzip%22	http://cdn.datatables.net/1.12.1/css/jquery.dataTables.min.css	C:/My%20Web%20Sites/ii/cdn.datatables.net/1.12.1/css/jquery.dataTables.min.css	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:20	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/ii/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:21	68441/68441	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210b59-IskNIBPdmWA6PKVJWcUA7X1/gGQ%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.4.14/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/ii/cdn.jsdelivr.net/npm/sweetalert2@11.4.14/dist/sweetalert2.all.min.js	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:21	62/62	---MCZ	302	error ('Found')	text/plain	date:Thu,%2011%20Jan%202024%2003:29:31%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/My%20Web%20Sites/ii/unpkg.com/sweetalert/dist/sweetalert.min.4.delayed	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:22	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/My%20Web%20Sites/ii/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:22	12334/12334	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-302e%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.css	C:/My%20Web%20Sites/ii/cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.css	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:24	56753/56753	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e58-ddb1%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.js	C:/My%20Web%20Sites/ii/cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.js	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
08:59:24	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/ii/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://verify.crsorgi.gov.viewcert.info/auth/State.php)
